Salvage Permit ID,Salvage Date,PermitCreatedDate,Salvage Time,Salvage Latitude,Salvage Longitude,Species Name Common,Species Sex,Species Antler Pts,Animal Notes,Permittee City,Permittee State,Permittee Country,Longitude Reported,Latitude Reported,x,y
22-12-14-20-43-56,12/14/2022,"12/14/2022, 8:43 PM",20:45,46.9979264717008,-120.602888849037,Deer,Male,1,Yearling buck,Ellensburg,Wa,United States,-120.60289,46.99793,-13425452.174872536,5941735.6264038505
22-12-14-18-49-28,12/14/2022,"12/14/2022, 6:49 PM",18:30,47.3574601999992,-122.022104799998,Deer,Female,,,BONNEY LAKE,WA,United States,-122.0221,47.35746,-13583438.57185923,6000617.1116552
22-12-14-16-37-16,12/13/2022,"12/14/2022, 4:37 PM",20:00,47.5275143907963,-121.876979124322,Deer,Male,0,Hit by car,Oakville ,WA,USA,-121.87698,47.52751,-13567283.255541982,6028606.955598839
22-12-14-15-16-26,12/14/2022,"12/14/2022, 3:16 PM",15:18,47.1875414641598,-122.283624434037,Deer,Female,,,tacoma,WA,USA,-122.28362,47.18754,-13612550.80435294,5972739.518397438
22-12-14-09-58-33,12/14/2022,"12/14/2022, 9:58 AM",09:59,47.2058394075496,-121.169050819449,Deer,Female,,,Graham ,WA,USA,-121.16905,47.20584,-13488477.037125329,5975737.261850728
22-12-14-08-19-06,12/14/2022,"12/14/2022, 8:19 AM",06:00,46.748350034065,-120.795865647619,Elk,Female,,,Naches ,WA,USA,-120.79587,46.74835,-13446934.253825588,5901094.691619926
22-12-13-05-57-19,12/12/2022,"12/13/2022, 5:57 AM",17:57,47.5003673021501,-120.422889457487,Deer,Female,,,Malaga,WA,United States,-120.42289,47.50037,-13405414.734262085,6024132.641315751
22-12-11-12-21-41,12/11/2022,"12/11/2022, 12:21 PM",11:15,46.9799355689799,-122.289236318507,Elk,Female,,,Graham ,WA,USA,-122.28924,46.97994,-13613175.516474474,5938799.661322253
22-12-10-14-35-00,12/10/2022,"12/10/2022, 2:35 PM",10:00,46.99703,-120.54872,Deer,Male,0,,Ellensburg,WA,USA,-120.54872,46.99703,-13419422.12618091,5941589.306310918
22-12-09-21-42-22,12/9/2022,"12/9/2022, 9:42 PM",18:00,47.6920329530611,-120.316289764442,Deer,Male,1,Mule deer. Dead on impact.,Wenatchee,WA,United States,-120.31629,47.69203,-13393548.110713622,6055772.165918121
22-12-09-14-56-24,12/9/2022,"12/9/2022, 2:56 PM",12:56,47.4942328424762,-121.804792245205,Elk,Female,,,Lynden,Wa,United States,-121.80479,47.49423,-13559247.44891675,6023121.895740143
22-12-08-20-55-51,12/8/2022,"12/8/2022, 8:55 PM",19:30,47.3101742148653,-120.094726241243,Deer,Female,,,Malaga,WA,United States,-120.09473,47.31017,-13368883.77213272,5992850.176456597
22-12-08-11-47-55,12/8/2022,"12/8/2022, 11:47 AM",11:56,47.7652850371949,-120.18171092252,Deer,Male,3,Buck was hit by vehicle. ,Chelan,WA,USA,-120.18171,47.76529,-13378566.862559324,6067895.079595725
22-12-08-08-00-14,12/8/2022,"12/8/2022, 8:00 AM",08:01,46.9916268472124,-120.280763374831,Elk,Female,,,Ellensburg,WA,USA,-120.28076,46.99163,-13389593.331112385,5940707.467856162
22-12-05-22-03-57,12/5/2022,"12/5/2022, 10:03 PM",19:45,47.0720132698719,-119.55614970758,Deer,Female,,,Ephrata,WA,USA,-119.55615,47.07201,-13308929.706652151,5953836.402648706
22-12-04-23-26-10,12/3/2022,"12/4/2022, 11:26 PM",23:30,47.3580999211596,-121.93048534608,Elk,Female,,"Healthy adult cow, no issues",Buckley,WA,USA,-121.93049,47.3581,-13573239.540902331,6000722.236427387
